PB
2;[573,127];1;
2;[309,64];1;
2;[349,64];2;
2;[389,64];2;
2;[429,64];2;
2;[467,80];2;
2;[499,104];2;

PB
2;[573,127];1;
2;[309,64];1;
2;[349,64];2;
2;[389,64];2;
2;[429,64];2;
2;[467,80];2;
2;[499,104];2;

PB
3;[573,127];1;
3;[309,64];1;
3;[349,64];2;
3;[389,64];2;
3;[429,64];2;
3;[467,80];2;
3;[499,104];2;

PB
4;[573,127];1;
4;[309,64];1;
4;[349,64];2;
4;[389,64];2;
4;[429,64];2;
4;[467,80];2;
4;[499,104];2;

PB
5;[573,127];1;0.0;
5;[309,64];1;0.0;
5;[349,64];2;5.0;
5;[389,64];2;8.0;
5;[429,64];2;9.0;
5;[467,80];2;8.0;
5;[499,104];2;5.0;

PB
8;[573,127];1;0.0;
8;[309,64];1;0.0;
8;[349,64];2;5.0;
8;[389,64];2;8.0;
8;[429,64];2;9.0;
8;[467,80];2;8.0;
8;[499,104];2;5.0;

PB
9;[573,127];1;0.0;
9;[309,64];1;0.0;
9;[349,64];2;5.0;
9;[389,64];2;8.0;
9;[429,64];2;9.0;
9;[467,80];2;8.0;
9;[499,104];2;5.0;

PB
13;[358,228];2;13.0;
13;[374,206];2;32.0;
13;[393,157];4;37.0;
13;[397,122];5;50.0;
13;[471,91];4;71.0;
13;[556,111];3;62.0;
13;[587,91];2;18.0;
13;[296,53];1;0.0;
13;[336,53];2;18.0;
13;[376,53];2;34.0;
13;[416,53];3;48.0;
13;[641,90];1;0.0;
13;[261,97];1;0.0;
13;[509,106];2;69.0;
13;[300,108];2;18.0;
13;[340,108];3;34.0;
13;[589,137];2;18.0;
13;[636,137];1;0.0;
13;[421,150];3;28.0;
13;[327,239];1;0.0;

PB
17;[358,228];2;13.0;
17;[374,206];2;32.0;
17;[393,157];4;37.0;
17;[397,122];5;50.0;
17;[471,91];4;71.0;
17;[556,111];3;62.0;
17;[587,91];2;18.0;
17;[296,53];1;0.0;
17;[336,53];2;18.0;
17;[376,53];2;34.0;
17;[416,53];3;48.0;
17;[641,90];1;0.0;
17;[261,97];1;0.0;
17;[509,106];2;69.0;
17;[300,108];2;18.0;
17;[340,108];3;34.0;
17;[589,137];2;18.0;
17;[636,137];1;0.0;
17;[421,150];3;28.0;
17;[327,239];1;0.0;

PB
18;[358,228];2;13.0;
18;[374,206];2;32.0;
18;[393,157];4;37.0;
18;[397,122];5;50.0;
18;[471,91];4;71.0;
18;[556,111];3;62.0;
18;[587,91];2;18.0;
18;[296,53];1;0.0;
18;[336,53];2;18.0;
18;[376,53];2;34.0;
18;[416,53];3;48.0;
18;[641,90];1;0.0;
18;[261,97];1;0.0;
18;[509,106];2;69.0;
18;[300,108];2;18.0;
18;[340,108];3;34.0;
18;[589,137];2;18.0;
18;[636,137];1;0.0;
18;[421,150];3;28.0;
18;[327,239];1;0.0;

PB
22;[241,107];3;36.0;
22;[331,257];3;64.0;
22;[397,122];4;177.0;
22;[397,191];3;192.0;
22;[436,250];4;80.0;
22;[443,309];3;22.0;
22;[470,302];4;3.0;
22;[471,91];3;81.0;
22;[473,250];3;19.0;
22;[555,109];3;80.0;
22;[587,84];2;22.0;
22;[296,53];1;0.0;
22;[336,53];2;26.0;
22;[376,53];2;48.0;
22;[416,53];3;70.0;
22;[642,60];1;0.0;
22;[225,88];2;0.0;
22;[294,108];2;72.0;
22;[334,108];2;92.0;
22;[214,128];2;0.0;
22;[601,139];2;26.0;
22;[629,142];1;0.0;
22;[291,260];3;26.0;
22;[252,272];1;0.0;
22;[578,291];1;0.0;
22;[333,297];3;26.0;
22;[326,337];1;0.0;
22;[472,359];2;0.0;

PB
32;[223,290];1;0.0;
32;[240,107];3;50.0;
32;[303,256];4;27.0;
32;[331,257];3;37.0;
32;[345,333];4;37.0;
32;[397,122];4;201.0;
32;[397,191];3;231.0;
32;[454,298];3;62.0;
32;[465,414];2;0.0;
32;[471,91];3;103.0;
32;[477,255];3;190.0;
32;[555,108];3;87.0;
32;[559,258];3;99.0;
32;[587,81];1;0.0;
32;[296,53];1;0.0;
32;[336,53];2;31.0;
32;[376,53];2;60.0;
32;[416,53];3;87.0;
32;[225,88];2;0.0;
32;[290,108];2;71.0;
32;[330,108];2;100.0;
32;[214,128];2;0.0;
32;[601,139];2;31.0;
32;[627,140];1;0.0;
32;[432,213];3;174.0;
32;[366,217];4;104.0;
32;[595,239];2;31.0;
32;[635,239];1;0.0;
32;[517,255];2;135.0;
32;[597,288];2;31.0;
32;[636,293];1;0.0;
32;[415,310];3;24.0;
32;[333,372];1;0.0;

PB
38;[214,122];2;0.0;
38;[242,106];3;70.0;
38;[242,267];3;93.0;
38;[303,256];4;134.0;
38;[331,257];3;0.0;
38;[348,410];1;0.0;
38;[349,283];5;115.0;
